1149.9, 2
1150.5, -11
1151.1, 6
1151.7, -2
1152.3, 5
1152.9, 6
1153.5, 3
1154.1, -4
1154.7, -15
1155.3, -2
1155.9, -11
1156.5, 2
1157.1, -14
1157.7, 5
1158.3, -3
1158.9, -14
1159.5, 12
1160.1, -7
1160.7, -9
1161.3, -4
1161.9, 7
1162.5, -9
1163.1, 15
1163.7, 1
1164.3, 1
1164.9, 17
1165.5, -14
1166.1, 3
1166.7, 5
1167.3, -3
1167.9, 24
1168.5, 14
1169.1, 16
1169.7, -19
1170.3, -7
1170.9, 17
1171.5, 1
1172.1, 15
1172.7, -8
1173.3, -4
1173.9, 8
1174.5, -2
1175.1, 14
1175.7, 19
1176.3, 5
1176.9, -11
1177.5, 15
1178.1, 8
1178.7, 15
1179.3, -10
1179.9, 12
1180.5, 3
1181.1, 9
1181.7, 9
1182.3, 0
1182.9, 4
1183.5, -6
1184.1, 3
1184.7, 14
1185.3, 4
1185.9, -2
1186.5, 0
1187.1, 4
1187.7, -7
1188.3, -7
1188.9, 3
1189.5, 1
1190.1, 9
1190.7, -12
1191.3, 5
1191.9, 5
1192.5, 12
1193.1, 9
1193.7, -2
1194.3, 6
1194.9, 25
1195.5, 7
1196.1, -5
1196.7, -4
1197.3, 0
1197.9, 21
1198.5, 3
1199.1, 8
1199.7, 14
1200.3, 3
1200.9, -1
1201.5, -1
1202.1, 11
1202.7, 20
1203.3, 4
1203.9, 12
1204.5, 7
1205.1, 14
1205.7, 33
1206.3, 5
1206.9, 7
1207.5, 16
1208.1, 26
1208.7, 22
1209.3, -1
1209.9, 40
1210.5, 11
1211.1, 15
1211.7, -2
1212.3, 11
1212.9, 35
1213.5, 17
1214.1, 35
1214.7, 12
1215.3, 33
1215.9, 33
1216.5, 14
1217.1, 38
1217.7, 33
1218.3, 45
1218.9, 39
1219.5, 49
1220.1, 66
1220.7, 31
1221.3, 24
1221.9, 61
1222.5, 68
1223.1, 57
1223.7, 67
1224.3, 112
1224.9, 83
1225.5, 99
1226.1, 88
1226.7, 87
1227.3, 108
1227.9, 119
1228.5, 130
1229.1, 120
1229.7, 149
1230.3, 117
1230.9, 118
1231.5, 146
1232.1, 203
1232.7, 166
1233.3, 167
1233.9, 177
1234.5, 199
1235.1, 175
1235.7, 206
1236.3, 221
1236.9, 240
1237.5, 211
1238.1, 203
1238.7, 237
1239.3, 247
1239.9, 269
1240.5, 281
1241.1, 295
1241.7, 318
1242.3, 288
1242.9, 322
1243.5, 328
1244.1, 352
1244.7, 370
1245.3, 340
1245.9, 381
1246.5, 405
1247.1, 363
1247.7, 397
1248.3, 386
1248.9, 421
1249.5, 390
1250.1, 391
1250.7, 462
1251.3, 495
1251.9, 466
1252.5, 484
1253.1, 518
1253.7, 495
1254.3, 463
1254.9, 490
1255.5, 483
1256.1, 482
1256.7, 534
1257.3, 512
1257.9, 545
1258.5, 546
1259.1, 597
1259.7, 592
1260.3, 586
1260.9, 566
1261.5, 574
1262.1, 629
1262.7, 587
1263.3, 590
1263.9, 626
1264.5, 641
1265.1, 643
1265.7, 640
1266.3, 628
1266.9, 670
1267.5, 625
1268.1, 648
1268.7, 682
