458.9300, 0.0034204
460.0000, 0.0034655
461.0600, 0.0035070
461.9600, 0.0035972
463.0300, 0.0037252
463.9300, 0.0036662
465.0000, 0.0038726
466.0600, 0.0038282
466.9600, 0.0037309
468.0300, 0.0038318
468.9300, 0.0037961
470.0000, 0.0039178
471.0400, 0.0038766
471.9400, 0.0039693
472.9800, 0.0038690
474.0200, 0.0039529
475.0700, 0.0039133
475.9700, 0.0036963
477.0100, 0.0036601
478.0500, 0.0035430
478.9500, 0.0034767
480.0000, 0.0032536
481.0600, 0.0031135
481.9600, 0.0029940
483.0300, 0.0027650
483.9300, 0.0026178
485.0000, 0.0024261
486.0600, 0.0022391
486.9600, 0.0020770
488.0300, 0.0019411
488.9300, 0.0018521
490.0000, 0.0016971
491.0600, 0.0015987
491.9600, 0.0014708
493.0300, 0.0014223
493.9300, 0.0013295
495.0000, 0.0012366
496.0600, 0.0012152
496.9600, 0.0011215
498.0300, 0.0011057
498.9300, 0.0010331
500.0000, 0.0009936
501.0400, 0.0010413
501.9400, 0.0010333
502.9800, 0.0009290
504.0200, 0.0009503
505.0700, 0.0009004
505.9700, 0.0009052
507.0100, 0.0009035
508.0500, 0.0008652
508.9500, 0.0008486
510.0000, 0.0008328
511.0400, 0.0007560
511.9400, 0.0008264
512.9800, 0.0007667
514.0200, 0.0008802
515.0700, 0.0008294
515.9700, 0.0007848
517.0100, 0.0007490
518.0500, 0.0008096
518.9500, 0.0007464
520.0000, 0.0007835
521.0400, 0.0007724
521.9400, 0.0007787
522.9800, 0.0008210
524.0200, 0.0008810
525.0700, 0.0007698
525.9700, 0.0008041
527.0100, 0.0008717
528.0500, 0.0008682
528.9500, 0.0008719
530.0000, 0.0008755
531.0400, 0.0008744
531.9400, 0.0007966
532.9800, 0.0008408
534.0200, 0.0008572
535.0700, 0.0008621
535.9700, 0.0009281
537.0100, 0.0008741
538.0500, 0.0009390
538.9500, 0.0009179
540.0000, 0.0009289
541.0400, 0.0009171
541.9400, 0.0009825
542.9800, 0.0010470
544.0200, 0.0010128
545.0700, 0.0010166
545.9700, 0.0010528
547.0100, 0.0011389
548.0500, 0.0011551
548.9500, 0.0012026
550.0000, 0.0011763
551.0400, 0.0012361
551.9400, 0.0012066
552.9800, 0.0012660
554.0200, 0.0013148
555.0700, 0.0013213
555.9700, 0.0014132
557.0100, 0.0014837
558.0500, 0.0014913
558.9500, 0.0015585
560.0000, 0.0016525
561.0200, 0.0017081
562.0500, 0.0018584
562.9400, 0.0019322
563.9700, 0.0020710
565.0000, 0.0021463
566.0200, 0.0023319
567.0500, 0.0023958
567.9400, 0.0026075
568.9700, 0.0027717
570.0000, 0.0029512
571.0200, 0.0030789
572.0500, 0.0033668
572.9400, 0.0035453
573.9700, 0.0038430
575.0000, 0.0040793
576.0200, 0.0044148
577.0500, 0.0047877
577.9400, 0.0051206
578.9700, 0.0055090
580.0000, 0.0058488
581.0200, 0.0062718
582.0500, 0.0067498
582.9400, 0.0071518
583.9700, 0.0076637
585.0000, 0.0082369
586.0200, 0.0088701
587.0500, 0.0092645
587.9400, 0.0099007
588.9700, 0.0105917
590.0000, 0.0113943
591.0200, 0.0119910
592.0500, 0.0127997
592.9400, 0.0133516
593.9700, 0.0142192
595.0000, 0.0149525
596.0200, 0.0159622
597.0500, 0.0166700
597.9400, 0.0174578
598.9700, 0.0182503
