0,1,4,6
0.02,1,5,1
0.04,3,5,3
0.06,0,3,6
0.08,4,1,6
0.1,5,3,4
0.12,5,3,1
0.14,4,6,1
0.16,1,3,3
0.18,566,540,526
0.2,15434,15252,15318
0.22,20494,20485,20424
0.24,20969,20634,20712
0.26,20536,20624,20691
0.28,21102,20729,20769
0.3,20773,20587,20637
0.32,20553,20656,20900
0.34,20280,20289,20507
0.36,15621,15589,15827
0.38,4627,4586,4512
0.4,865,867,911
0.42,322,295,270
0.44,168,203,195
0.46,172,166,165
0.48,159,158,158
0.5,170,189,169
0.52,175,174,188
0.54,166,181,159
0.56,178,176,172
0.58,185,172,197
0.6,212,205,202
0.62,203,188,209
0.64,212,207,218
0.66,216,196,212
0.68,219,218,258
0.7,209,225,256
0.72,220,244,215
0.74,253,259,229
0.76,281,241,268
0.78,269,316,244
0.8,259,280,253
0.82,264,285,259
0.84,279,271,329
0.86,259,287,295
0.88,270,310,331
0.9,305,317,297
0.92,321,302,348
0.94,300,276,324
0.96,311,323,316
0.98,336,332,340
1,332,327,307
1.02,322,316,302
1.04,311,332,294
1.06,352,347,304
1.08,350,331,340
1.1,358,372,304
1.12,341,333,371
1.14,357,378,340
1.16,357,366,362
1.18,364,371,364
1.2,387,380,370
1.22,357,355,371
1.24,416,386,376
1.26,417,360,390
1.28,351,395,391
1.3,409,416,419
1.32,392,387,396
1.34,414,403,409
1.36,410,369,434
1.38,458,435,427
1.4,408,405,428
1.42,445,406,421
1.44,445,421,415
1.46,422,426,434
1.48,410,441,421
1.5,426,443,464
1.52,450,432,443
1.54,460,409,437
1.56,459,428,469
1.58,457,472,436
1.6,415,445,461
1.62,436,427,434
1.64,447,496,463
1.66,504,484,450
1.68,437,497,449
1.7,448,465,462
1.72,485,464,483
1.74,475,495,477
1.76,534,450,482
1.78,454,435,499
1.8,505,497,413
1.82,516,502,480
1.84,446,454,471
1.86,499,484,472
1.88,476,536,450
1.9,518,478,469
1.92,457,488,449
1.94,494,515,506
1.96,461,509,501
1.98,495,509,485
2,488,491,524
2.02,489,486,500
2.04,513,517,503
2.06,541,473,537
2.08,498,497,498
2.1,564,484,514
2.12,478,510,488
2.14,516,488,569
2.16,521,516,485
2.18,521,539,490
2.2,489,499,541
2.22,522,500,486
2.24,484,496,495
2.26,542,560,468
2.28,521,517,503
2.3,547,520,548
2.32,532,489,532
2.34,522,539,508
2.36,499,551,501
2.38,492,536,478
2.4,512,537,530
2.42,529,521,491
2.44,529,566,570
2.46,488,483,510
2.48,456,527,557
2.5,532,537,533
2.52,531,566,490
2.54,601,477,547
2.56,513,514,526
2.58,508,538,549
2.6,527,547,524
2.62,499,515,543
2.64,538,474,545
2.66,519,517,525
2.68,510,545,533
2.7,522,536,581
2.72,552,528,561
2.74,493,554,557
2.76,557,568,502
2.78,552,557,506
2.8,545,529,515
2.82,571,510,556
2.84,513,545,536
2.86,510,556,557
2.88,567,487,534
2.9,508,517,509
2.92,548,515,522
2.94,519,558,541
2.96,520,551,571
2.98,510,491,539
3,507,548,529
3.02,520,512,500
3.04,487,520,504
3.06,523,534,528
3.08,523,500,544
3.1,506,547,507
3.12,540,535,493
3.14,498,523,508
3.16,493,531,537
3.18,514,514,529
3.2,501,488,548
3.22,443,506,508
3.24,454,505,497
3.26,491,486,490
3.28,544,521,469
3.3,518,497,496
3.32,528,530,520
3.34,480,538,504
3.36,509,543,502
3.38,495,499,493
3.4,529,509,510
3.42,518,537,508
3.44,560,499,495
3.46,528,542,516
3.48,484,534,471
3.5,526,499,503
3.52,502,492,533
3.54,502,513,477
3.56,518,510,520
3.58,495,509,496
3.6,492,523,546
3.62,519,500,497
3.64,489,494,486
3.66,486,510,535
3.68,480,510,521
3.7,502,526,540
3.72,520,536,538
3.74,535,513,494
3.76,498,494,495
3.78,493,521,479
3.8,504,496,479
3.82,505,470,501
3.84,503,513,460
3.86,502,478,511
3.88,500,508,503
3.9,501,522,477
3.92,469,460,509
3.94,465,462,494
3.96,499,506,489
3.98,513,478,516
4,463,501,514
4.02,499,460,460
4.04,467,478,506
4.06,509,512,468
4.08,480,484,496
4.1,469,488,418
4.12,506,507,451
4.14,485,448,436
4.16,461,482,451
4.18,475,427,469
4.2,443,475,466
4.22,471,476,496
4.24,484,490,499
4.26,478,452,466
4.28,482,435,411
4.3,482,486,474
4.32,476,487,438
4.34,443,445,429
4.36,477,482,461
4.38,459,509,432
4.4,456,476,442
4.42,427,445,440
4.44,483,459,455
4.46,458,458,482
4.48,474,460,477
4.5,467,505,460
4.52,461,469,461
4.54,443,478,473
4.56,456,413,478
4.58,483,449,414
4.6,453,436,440
4.62,436,412,469
4.64,491,460,441
4.66,445,439,436
4.68,456,468,454
4.7,437,433,490
4.72,450,472,435
4.74,448,401,467
4.76,463,449,450
4.78,449,447,459
4.8,448,425,413
4.82,447,471,480
4.84,409,421,451
4.86,425,423,472
4.88,461,443,487
4.9,436,422,435
